asset,app_weight_pct,app_mean_return_pct,app_mc_to_risk,app_implied_return_pct,app_difference_pct,baseline_mean,baseline_mc_to_risk,baseline_implied_return,baseline_difference
Elliott Associates LP: Elliott Associates LP,2.7027027027027035,0.7351200292675677,-0.009841455653270513,-0.3587241448757454,1.093844174143313,0.7120429704077235,0.16092826100120697,0.1726596436285597,0.5393833267791638
Four World: FWGO,2.7027027027027035,0.8323429012304654,-0.0006533658608177083,0.2873882266422167,0.5449546745882488,0.8696486239083479,0.05490859381693405,0.05891133217742323,0.8107372917309246
Four World: FWGO Minority Descent,2.7027027027027035,0.7760268474699908,-0.00733263654767247,-0.18230237510168273,0.9583292225716735,0.6302408043882255,0.8779568194915596,0.9419583026100027,-0.3117174982217772
Graham Absolute Return Ltd: Graham Absolute Return Ltd,2.7027027027027035,1.0530902209587603,0.005279183924014261,0.7045689352781622,0.348521285680598,0.7367629289801563,3.684631009097601,3.953234024748212,-3.216471095768056
HF: Current Coinvests (Excluding BH Coinvests),2.7027027027027035,0.354381562538121,-0.00757927278030885,-0.19964599328245444,0.5540275558205754,0.6483913215926267,1.28504813480849,1.3787258472886574,-0.7303345256960307
HF: Current Specialty Finance (Excluding Pathfinder),2.7027027027027035,0.7976695759264052,-0.0035303361582659197,0.08507782876192205,0.7125917471644831,0.8767479141179841,1.776464761268938,1.905965867592944,-1.02921795347496
Holocene: Holocene Advisors Master,2.7027027027027035,0.7272102151763202,-0.002702090675154624,0.14332058273801498,0.5838896324383053,0.8757057850963609,-0.46679857445270523,-0.5008273563008259,1.3765331413971866
Hudson Structured: HSCM w MFC,2.7027027027027035,0.3107302784215829,0.002734880870641776,0.5256519115214713,-0.2149216330998884,0.09619057318761301,0.4170835233401887,0.4474881668094391,-0.3512975936218261
King Street Capital LP: King Street Capital LP,2.7027027027027035,-0.03250652047081626,0.0036495963707041355,0.5899752925897528,-0.6224818130605692,-0.07036504569854382,2.065782245059434,2.2163740789039705,-2.2867391246025144
LibreMax CLO: LibreMax CLO,2.7027027027027035,0.4005050758956937,0.014320126578467977,1.3403338256066428,-0.9398287497109492,0.34156768158000195,-0.665477591973403,-0.7139897191336583,1.0555574007136603
LibreMax Partners LP: LibreMax Partners LP,2.7027027027027035,0.908178131260185,-0.006331280034054757,-0.11188634235024587,1.0200644736104307,0.5190377413426006,4.562200841222435,4.894777129304051,-4.375739387961451
Mesarete: Prior TR+back with Pharo Macro+Mesarete Capital Fund,2.7027027027027035,0.676208134241473,0.003255883862798587,0.5622891763321505,0.11391895790932252,0.5603043020945936,2.6105921263060146,2.8008996268476407,-2.240595324753047
PIMCO Global Credit Opportunity Onshore Fund LLC: PIMCO Global Credit Opportunity Onshore Fund LLC,2.7027027027027035,0.6607662117544599,-0.007482106167014564,-0.19281317466987308,0.853579386424333,0.8145471007021755,0.22079253197842122,0.23688791297481096,0.5776591877273646
PIMCO: PIMCO Commodity Alpha Fund,2.7027027027027035,0.8799276522195902,0.03774752474690794,2.987763501526852,-2.107835849307262,0.4843840918877886,3.9659144711266996,4.255022548469272,-3.7706384565814837
Reflow Full Track: ReFlow LO Excess Plus Market Neutral,2.7027027027027035,0.46435289971702814,-0.009549742194448624,-0.33821066721709897,0.8025635669341271,0.4723515398106492,-0.19166953958387264,-0.2056419064812573,0.6779934462919065
Rokos Global Macro Fund LP: Rokos Global Macro Fund LP,2.7027027027027035,1.6600415469174186,0.010655896200227263,1.0826627935475135,0.5773787533699051,1.389198981781846,2.111088475260992,2.2649830523191237,-0.8757840705372777
Saba: CEF1 MN - 2.75x,2.7027027027027035,1.6977313192507104,0.020524551566382734,1.7766329730246122,-0.07890165377390165,1.3756037275364426,3.333749388713209,3.5767737613086763,-2.2011700337722337
Silver Point Capital Fund II LP: Silver Point Capital Fund II LP,2.7027027027027035,0.2141444083080056,0.003729285349394172,0.595579072719063,-0.38143466441105733,1.5690664565354817,0.1491950547596631,0.16007110762076576,1.408995348914716
Silver Point Capital: Silver Point Distressed Opportunity Institutional Partners + Silver Point HF,2.7027027027027035,2.823291421276773e-14,-0.00533600491291579,-0.04189795702121474,0.041897957021242965,1.169390699160587,8.508992574359146,9.129282926358673,-7.959892227198086
Taula: SWIB-DM Taula,2.7027027027027035,1.3116868187790895,-0.013913346636082805,-0.645062132302523,1.9567489510816125,1.2224809786082593,-0.21440134630106125,-0.2300308212834476,1.452511799891707
Voleon Composition Domestic Fund LP: Voleon Composition Domestic Fund LP,2.7027027027027035,0.8152839822038821,-0.001972681864282483,0.19461307848460752,0.6206709037192746,0.7580382012946248,1.1825809274189345,1.2687889636025673,-0.5107507623079425
Walleye: Walleye Opportunities Fund,2.7027027027027035,0.8374514554486383,0.008256154591119828,0.9139114233373165,-0.07645996788867813,0.9452775556998054,2.7799232957931466,2.9825747359736647,-2.0372971802738595
