asset,app_weight_pct,app_mean_return_pct,app_mc_to_risk,app_implied_return_pct,app_difference_pct,baseline_mean,baseline_mc_to_risk,baseline_implied_return,baseline_difference
Mesarete: Prior TR+back with Pharo Macro+Mesarete Capital Fund,2.7027027027027035,0.6762081342414731,0.0030364512679476735,0.5241980787854783,0.15201005545599483,0.5603043020945936,1.1640465976439374,1.453438753367525,-0.8931344512729315
PIMCO Global Credit Opportunity Onshore Fund LLC: PIMCO Global Credit Opportunity Onshore Fund LLC,2.7027027027027035,0.6607662117544598,-0.0019187070272601477,0.21272756823479708,0.4480386435196628,0.8145471007021755,0.5259705553552412,0.6567314313970425,0.15781566930513302
PIMCO: PIMCO Commodity Alpha Fund,2.7027027027027035,0.8799276522195898,0.010203163800724582,0.9746820953531808,-0.09475444313359113,0.4843840918877886,1.3853513642716708,1.7297618187609192,-1.2453777268731305
Reflow Full Track: ReFlow LO Excess Plus Market Neutral,2.7027027027027035,0.4643528997170282,-0.004883153310997635,0.026388900025397413,0.43796399969163075,0.4723515398106492,0.08222469910602935,0.1026664777909901,0.3696850620196591
Rokos Global Macro Fund LP: Rokos Global Macro Fund LP,2.7027027027027035,1.6600415469174192,0.00502753575203534,0.6493533339481824,1.010688212969237,1.389198981781846,1.2705789129085776,1.5864559330964136,-0.19725695131456766
Saba: CEF1 MN - 2.75x,2.7027027027027035,1.6977313192507109,0.011227735437965933,1.0390844477978924,0.6586468714528183,1.3756037275364426,1.6052194414074674,2.0042910211007623,-0.6286872935643197
Silver Point Capital Fund II LP: Silver Point Capital Fund II LP,2.7027027027027035,0.21414440830800546,-0.001998566924576572,0.20770774817905285,0.0064366601289526145,1.5690664565354817,0.8318804640810755,1.0386932165018572,0.5303732400336245
Silver Point Capital: Silver Point Distressed Opportunity Institutional Partners + Silver Point HF,2.7027027027027035,2.8232914212767738e-14,-0.0059695232069789834,-0.04189795702121677,0.041897957021245005,1.169390699160587,3.3037878077405223,4.125138325555209,-2.955747626394622
Taula: SWIB-DM Taula,2.7027027027027035,1.3116868187790893,-0.002016188173378612,0.2066001146719215,1.105086704107168,1.2224809786082593,0.40116845431613923,0.5009024375070471,0.7215785411012122
Voleon Composition Domestic Fund LP: Voleon Composition Domestic Fund LP,2.7027027027027035,0.8152839822038819,0.0019384638834459185,0.45518097159039406,0.3601030106134879,0.7580382012946248,0.805421198201285,1.0056559459207628,-0.24761774462613795
Walleye: Walleye Opportunities Fund,2.7027027027027035,0.8374514554486382,0.004564412739156091,0.6202424251385135,0.2172090303101247,0.9452775556998054,1.5436233081717392,1.9273815509097507,-0.9821039952099453
